message_text,label
会話のスクショをSNSに投稿します,1
この講義内容を有料で販売しようと思います,1
電話番号を教えてください,1
ファイルを共有フォルダに置きました,1
コンテンツを販売に使います,1
画面が一時的に固まりました,0
録画した講義をYouTubeにアップした,1
テンプレートとして利用します,1
プライベートでお話しできませんか？,1
電話番号を教えてください,1
URLをInstagramのストーリーに載せます,1
wwwwwww,0
年収を教えてもらえますか,1
画面キャプチャについて規則を確認しました,0
スクリーンショットの仕方について教えてください,0
不労所得の作り方を知りたくないですか？,1
Slackの内容をインスタに載せた,1
講義のZoomリンクを友人に送りました,1
受講者じゃない人に動画のリンクを共有した,1
画面録画ソフトで保存中です,1
この教材はとても勉強になります,0
？？？？？,0
個人的な学習ノートを作成しています,0
オフラインでお会いできませんか？,1
プリントアウトして配布します,1
営業ツールとして使います,1
講義を撮影しました,1
この内容、活用させてもらいます,1
オフラインでお会いできませんか？,1
アドレス、メモしておきますね,1
動画のURLを友達に教えました,1
FXで稼げる方法を教えます,1
Facebookで友達と情報交換してる,0
Zoomの招待を転送しました,1
プライベートでお話しできませんか？,1
教材のURLをTwitterに載せました,1
このチャンネルに参加しました。みなさんとお話しできるのを楽しみにしています！,0
内輪だけで共有します,1
理解できない部分を調べています,0
ビジネスのヒントにします,1
会議の詳細を教えてあげたいです,1
会議の詳細を教えてあげたいです,1
教材のURLをTwitterに載せました,1
オフラインでお会いできませんか？,1
適切な方法で情報を取り扱います,0
政治活動に参加しませんか？,1
宗教を始めませんか？,1
他の受講生のアイデアに共感しました,0
復習用のメモを作成しました,0
みんなにも教えてあげたいです,1
MLMの勧誘をしたいです,1
講義のZoomリンクを友人に送りました,1
みんなにも教えてあげたいです,1
効率的な勉強方法を模索しています,0
連絡先を教えてもらえませんか,1
この会話をTwitterに投稿します,1
LinkedInでプロフェッショナルなつながりを増やしています,0
講義のZoomリンクをTwitterに貼った,1
課題について質問があります,0
ネットワークビジネスに興味ありませんか？,1
ファイルを共有フォルダに置きました,1
個別に相談したいことがあります,1
参考までに教えてもらえませんか,1
内輪だけで共有します,1
録画した講義をYouTubeにアップした,1
拡散希望です,1
録画してYouTubeにアップしてもいいですか？,1
オフラインでお会いできませんか？,1
コンサルで使わせてもらいます,1
SNSにZoomの録画を載せました,1
権利収入について教えます,1
理解できない部分を調べています,0
お金の話なんですが...,1
ZoomのURLを他の人にシェアします,1
有料セミナーで紹介します,1
一部を抜粋して使います,1
ネットワークビジネスに興味ありませんか？,1
ディスカッションをYouTubeで紹介します,1
Facebookでシェアしました,1
適切な使用方法を学びました,0
知り合いにも見せたくて,1
政治活動に参加しませんか？,1
ちょっとしたビジネスの話があります,1
プリントアウトして配布します,1
プレゼン資料に入れます,1
録画した講義をYouTubeにアップした,1
副業に興味ある人いたら連絡ください,1
応用問題に挑戦しています,0
リンクをLINEで拡散します,1
プライベートでお話しできませんか？,1
授業内容を復習しています,0
aaaaaaaaaa,0
ガイドラインに従って行動します,0
連絡先をお聞きしたいのですが...,1
この資料、他の人にも配っておきます,1
ビジネスのヒントにします,1
社会的責任を意識しています,0
例として紹介したいです,1
教材を勝手に配布しました,1
リンクをLINEで拡散します,1
ベースにして作り直します,1
今日の講義はとても勉強になりました,0
連絡先を教えてもらえませんか,1
テンプレートとして利用します,1
テンプレートとして利用します,1
参考事例として投稿します,1
スクリーンショットを送ります,0
マーケティングに活用します,1
コンサルで使わせてもらいます,1
教材を商用利用したいです,1
知り合いにも見せたくて,1
講義URLをSNSに投稿した,1
お得な情報があります,1
チャット内容をブログに書きます,1
効率的な勉強方法を模索しています,0
政治活動に参加しませんか？,1
SNSでの情報収集が日課です,0
権利収入について教えます,1
学んだことの共有をしましょう,0
音声が聞こえない問題があります,0
継続的に学習します,0
動画のURLを友達に教えました,1
会議の詳細を教えてあげたいです,1
例として紹介したいです,1
URLをInstagramのストーリーに載せます,1
将来のための投資の相談です,1
資料をまとめてノートにしました,0
お金の話なんですが...,1
あああああああ,0
ネットワークビジネスに興味ありませんか？,1
X(Twitter)で猫の写真ばっかり見てる,0
コンテンツを販売に使います,1
不労所得の作り方を知りたくないですか？,1
教材のURLをTwitterに載せました,1
会議の内容を勝手に録画しました,1
SNSでの情報収集が日課です,0
アドレス、メモしておきますね,1
機密情報は適切に管理します,0
アフィリエイトを始めませんか,1
他の受講者のプロフィールを集めています,1
Facebookでシェアしました,1
FXで稼げる方法を教えます,1
この内容、シェアしてもいいですか？,1
会議の詳細を教えてあげたいです,1
チャット機能の使い方を知りたいです,0
ネットワークビジネスに興味ありませんか？,1
オフラインでお会いできませんか？,1
個人的にお話ししたいことがあります,1
限定的なオファーがあります,1
技術的なサポートが必要です,0
素材として使わせていただきます,1
